/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
276.68	447.77	12.92
276.92	454.68	13.50
277.15	414.89	13.31
277.39	435.91	14.08
277.62	421.86	14.06
277.86	350.23	11.15
278.09	275.64	9.25
278.33	317.37	11.05
278.56	275.56	9.47
278.80	270.07	8.89
279.03	265.27	9.15
279.27	248.04	7.91
279.51	117.30	3.97
279.96	81.60	2.41
281.49	69.76	2.29
282.00	77.76	2.45
282.51	68.79	2.16
283.02	72.31	2.57
283.53	71.68	2.27
284.04	74.65	2.26
284.55	71.81	2.10
285.06	71.37	1.99
285.56	86.56	2.50
286.07	83.84	2.76
286.58	75.80	2.35
287.09	83.25	2.72
287.60	89.43	2.73
288.11	96.43	2.85
288.62	110.45	3.34
289.13	115.89	3.59
289.64	123.11	4.15
290.15	133.19	3.52
290.66	139.51	4.19
291.17	165.07	5.32
291.68	155.05	4.74
292.19	154.87	5.03
292.70	165.40	5.12
293.21	160.54	4.98
293.72	172.49	5.17
294.23	175.94	5.00
294.74	167.09	5.14
295.25	175.54	5.51
295.76	156.09	4.32
296.27	169.89	5.06
296.78	131.44	3.95
297.29	133.86	4.37
297.79	115.91	3.37
298.30	100.24	2.87
298.81	98.41	2.74
299.32	101.89	2.98
299.83	106.83	3.32
300.34	106.35	2.99
300.85	109.71	3.27
301.36	93.90	3.00
301.87	96.86	2.68
302.38	91.19	2.65
302.89	90.94	2.95
303.40	89.80	2.76
303.91	81.70	2.58
304.42	83.60	2.17
304.93	77.63	2.64
305.44	77.69	2.52
305.95	77.78	2.46
306.46	77.36	2.28
306.97	74.60	2.04
307.48	85.94	2.48
307.99	77.09	2.13
308.50	82.33	2.03
309.01	80.14	2.73
309.52	80.34	2.40
310.02	81.33	2.49
310.53	86.89	2.42
311.04	98.11	2.55
311.55	88.51	2.70
312.06	92.53	2.75
312.57	93.65	2.85
313.08	85.75	2.52
313.59	79.93	2.06
314.10	82.27	2.40
314.61	70.48	2.09
315.12	69.92	2.00
315.63	59.90	1.73
316.14	57.71	1.68
316.65	59.69	1.69
317.16	60.99	1.59
317.67	63.31	1.69
318.20	59.30	1.57
318.78	61.56	1.75
319.36	58.59	1.65
319.94	60.71	1.90
320.53	62.93	2.02
321.11	57.96	1.71
321.69	60.50	1.73
322.27	63.42	1.72
322.86	64.87	1.75
323.44	63.91	1.84
324.02	65.08	2.29
324.60	62.20	1.68
325.19	64.75	2.20
325.77	67.22	1.75
326.35	63.82	1.84
326.93	62.98	1.94
327.52	63.45	2.07
328.10	63.79	2.14
328.68	66.10	2.16
329.26	63.06	1.84
329.85	69.06	1.87
330.43	67.41	1.60
331.01	71.82	2.15
331.59	75.60	2.15
332.18	74.88	1.60
332.76	66.09	1.84
333.44	53.72	1.33
334.30	51.13	1.21
335.16	50.42	1.42
336.02	48.99	1.19
336.88	48.84	1.53
337.74	48.62	1.26
338.60	155.20	4.56
338.88	265.02	6.96
339.06	274.86	7.95
339.24	307.16	8.31
339.42	327.82	9.56
339.60	328.72	9.13
339.78	375.50	10.37
339.95	410.78	10.77
340.13	392.84	10.91
340.31	377.66	11.19
340.49	380.78	9.97
340.67	584.27	11.16
340.85	582.90	12.86
341.03	473.27	11.39
341.21	497.82	11.49
341.39	593.89	11.56
341.57	614.95	12.97
341.75	482.13	14.63
341.92	474.64	14.24
342.10	505.04	14.07
342.28	501.50	14.53
342.46	478.18	13.87
342.64	443.55	13.70
342.82	437.06	14.11
343.00	427.83	13.00
343.18	404.73	13.03
343.36	413.83	12.59
343.54	409.85	12.71
343.71	433.79	13.06
343.89	431.44	12.85
344.07	438.67	12.10
344.25	426.67	13.69
344.43	413.72	12.12
344.61	387.62	11.28
344.79	375.00	10.36
344.97	364.77	12.00
345.15	384.79	10.67
345.33	357.03	10.84
346.94	342.75	10.35
347.12	335.23	10.13
347.30	310.08	8.44
347.47	294.17	9.36
347.65	303.85	8.73
347.83	303.94	9.61
348.01	296.06	8.84
348.19	306.34	8.55
348.37	304.83	9.42
348.55	306.26	8.44
348.73	312.30	9.43
348.91	285.85	8.22
349.09	302.81	8.58
349.26	276.79	8.76
349.44	284.47	8.57
349.62	285.52	8.83
349.80	288.44	9.26
349.98	303.20	8.81
350.16	289.33	8.82
350.34	308.24	9.57
350.52	290.27	8.63
350.70	299.75	8.36
350.88	291.28	8.56
351.06	280.25	8.73
351.23	300.92	8.93
351.41	301.05	8.66
351.59	249.55	8.72
351.77	272.65	8.66
351.95	270.01	8.25
352.13	278.03	9.18
352.31	273.92	9.27
352.49	264.94	8.35
352.67	274.29	8.57
352.85	270.21	7.65
353.02	282.48	7.21
353.20	360.77	7.95
353.38	331.76	8.82
353.56	332.06	9.90
353.74	302.42	9.02
353.92	340.47	9.85
354.10	279.46	7.81
354.28	404.96	11.73
354.44	444.39	11.54
354.58	439.19	14.34
354.73	439.36	12.90
354.87	442.64	14.90
355.01	448.54	13.94
355.16	484.09	13.56
355.30	439.70	13.08
355.44	498.91	12.05
355.59	499.22	13.74
355.73	481.99	15.07
355.87	523.11	15.62
356.16	484.32	14.77
356.30	436.24	11.44
356.45	527.77	13.65
356.59	538.70	15.77
356.73	500.32	15.25
356.88	530.51	13.85
357.02	471.84	12.44
357.16	490.22	14.01
357.31	500.36	12.99
357.45	529.82	14.67
357.59	459.12	12.77
357.74	555.10	16.86
357.88	517.16	14.77
358.02	465.65	13.49
358.16	530.83	14.48
358.31	533.80	13.71
358.45	510.26	15.61
358.59	493.85	14.36
358.74	497.52	12.34
358.88	497.50	13.94
359.02	553.52	16.56
359.17	501.72	14.59
359.31	506.51	15.13
359.45	510.96	15.72
359.60	505.47	15.21
359.74	483.65	13.87
359.88	482.05	14.34
360.03	463.06	12.66
360.17	428.67	11.75
360.31	522.16	12.11
360.46	497.78	14.69
360.60	450.31	12.21
360.74	453.43	12.99
360.89	489.87	15.18
361.03	482.18	13.96
361.17	465.20	14.57
361.32	472.37	13.41
361.46	429.68	12.25
361.60	457.06	11.60
361.75	446.97	13.62
361.89	474.86	12.90
362.03	447.13	13.11
362.17	451.92	12.92
362.32	459.93	13.11
362.46	456.01	13.17
362.60	509.50	13.55
362.75	459.03	13.67
362.89	559.83	14.43
363.03	459.88	15.63
363.18	461.30	12.31
363.32	419.05	13.83
363.46	434.63	13.78
363.61	426.54	13.58
363.75	415.57	12.75
363.89	408.18	12.54
364.04	423.03	11.96
364.18	490.70	14.62
364.32	499.42	14.31
364.47	391.78	8.86
364.69	314.53	8.70
364.92	284.62	8.86
365.15	306.57	8.27
365.38	290.14	8.10
365.60	285.31	8.87
365.83	271.79	8.93
366.06	282.61	9.26
366.29	323.70	10.43
366.51	367.10	9.81
366.74	395.08	9.89
366.97	381.52	10.05
367.20	326.98	8.90
367.42	364.28	7.55
367.65	372.55	6.20
367.88	317.48	7.85
368.11	341.65	8.61
368.33	284.56	8.37
368.56	296.06	8.25
368.79	272.99	8.22
369.01	275.49	8.45
369.24	357.41	10.13
369.47	389.14	10.84
369.70	358.89	10.01
369.92	341.23	10.75
370.15	365.22	10.20
370.38	323.50	8.88
370.61	305.36	7.67
370.83	310.01	8.94
371.06	284.23	8.26
371.29	247.16	7.93
371.52	247.45	7.00
371.74	221.85	6.23
371.97	230.76	6.97
372.20	227.08	6.90
372.43	228.37	6.69
372.65	228.07	7.10
372.88	232.05	6.70
373.11	225.94	6.86
373.34	226.14	6.46
373.56	234.65	6.17
373.79	212.63	6.67
374.02	233.60	5.78
374.24	232.95	6.35
374.47	203.81	6.02
374.70	212.52	6.18
374.93	228.70	5.60
375.15	271.28	7.11
375.38	274.00	8.68
375.61	234.56	7.03
375.84	277.60	8.60
376.06	380.86	8.36
376.29	338.25	8.79
376.52	255.28	8.38
376.75	280.42	8.55
376.97	296.64	9.08
377.20	282.22	8.98
377.43	289.61	8.69
377.66	269.96	8.35
377.88	269.88	9.45
378.11	250.14	6.73
378.34	249.69	7.60
378.57	245.49	7.97
378.79	230.76	7.83
379.02	231.27	5.79
379.25	241.56	7.61
379.48	256.91	8.71
379.70	233.63	6.34
379.93	209.02	7.31
380.16	204.47	6.35
380.38	189.53	5.01
380.61	230.34	7.31
380.84	208.02	6.54
381.07	206.31	6.58
381.29	193.97	5.81
381.52	188.98	5.83
381.75	186.61	5.34
381.98	174.15	5.22
382.20	165.52	4.91
382.43	226.92	6.99
382.66	203.55	6.37
382.89	155.16	5.28
383.11	177.67	4.99
383.34	190.65	5.14
383.57	204.47	5.46
383.80	212.18	5.68
384.25	178.89	5.04
384.48	187.41	5.05
384.71	182.49	5.66
384.93	177.65	5.00
385.16	176.25	5.19
385.39	177.87	5.14
385.62	154.75	4.03
385.84	159.36	4.37
386.07	158.82	4.43
386.30	156.11	4.14
386.52	148.57	4.44
386.75	135.04	4.27
386.97	146.27	3.98
387.18	161.85	4.61
387.38	178.33	5.00
387.59	175.72	4.76
387.80	197.50	4.96
388.01	203.17	5.24
388.22	162.73	4.30
395.74	105.58	2.35
395.95	107.29	3.29
396.16	108.59	2.45
396.37	116.46	3.03
396.58	116.82	3.38
396.78	100.02	2.69
396.99	105.32	2.67
397.20	110.72	2.30
397.41	113.27	3.24
397.62	104.32	2.37
397.83	126.50	3.28
398.25	112.67	2.70
398.46	119.18	3.55
398.67	109.36	2.51
398.87	109.06	3.00
399.08	118.09	3.02
399.29	118.24	3.79
399.50	114.79	3.12
399.71	114.81	2.95
399.92	132.54	3.43
400.13	126.05	2.53
400.34	116.28	2.97
400.55	119.59	3.10
400.75	125.12	2.97
400.96	136.14	3.21
401.17	132.43	3.62
401.38	127.98	3.77
401.59	123.09	3.61
401.80	153.83	3.22
402.01	121.28	3.50
402.22	123.35	3.17
402.43	129.15	3.41
402.63	133.25	3.73
402.84	134.52	3.25
403.05	105.82	2.99
403.34	86.85	2.04
403.67	89.14	2.45
404.00	82.62	2.22
404.33	87.03	2.03
404.66	85.55	2.26
404.99	79.78	1.70
405.32	88.49	2.67
405.65	87.22	2.79
405.99	82.94	2.19
406.32	82.47	2.35
406.65	84.87	2.25
406.98	89.16	2.66
407.31	83.46	2.31
407.64	83.35	2.00
407.97	81.48	1.89
408.30	85.19	2.53
408.63	85.54	2.19
408.96	84.47	2.09
409.29	82.46	2.61
409.62	78.21	2.41
409.95	83.68	2.14
410.28	81.27	2.09
410.61	84.13	2.36
410.94	81.85	2.12
411.27	82.51	1.81
411.60	82.17	2.55
411.93	81.81	2.63
412.26	83.76	2.17
412.59	82.06	2.48
412.93	79.83	1.80
413.26	82.24	2.33
413.59	84.62	2.34
413.92	81.82	2.76
414.25	84.28	2.37
414.58	77.47	2.03
414.91	82.66	2.28
415.24	85.71	2.64
415.57	86.29	2.74
415.90	92.68	2.89
416.23	83.73	2.61
416.56	89.14	2.63
416.89	95.45	2.76
417.22	90.87	2.47
417.55	91.61	2.18
417.88	89.56	1.94
418.21	96.89	2.58
418.54	98.77	2.67
418.87	122.62	2.54
419.20	94.25	2.90
419.53	93.99	2.50
419.87	94.14	2.03
420.20	102.80	2.54
420.53	106.96	2.56
420.86	109.56	3.10
421.19	99.15	2.82
421.52	101.51	2.30
421.85	102.60	2.77
422.18	99.48	2.92
422.51	102.34	3.03
422.84	86.43	2.01
423.17	99.38	2.62
423.50	96.58	2.15
423.83	97.09	2.01
424.16	105.24	2.89
424.49	106.29	2.89
424.82	107.82	3.52
425.15	120.37	3.23
425.48	114.87	2.95
425.81	117.04	3.33
426.14	130.95	2.92
426.47	125.13	3.04
426.80	140.22	3.18
427.14	130.01	2.35
427.47	127.66	3.24
427.80	151.04	3.25
428.13	156.45	3.67
428.44	237.20	5.89
428.63	259.25	5.49
428.82	306.77	5.55
429.01	417.84	6.98
429.20	351.29	6.97
429.39	310.59	6.93
429.58	316.79	8.74
429.77	329.00	8.58
429.96	284.14	7.85
430.15	403.73	8.96
430.34	374.12	8.54
430.53	326.63	8.47
430.72	393.28	8.29
430.91	332.33	9.29
431.10	345.82	10.32
431.30	340.23	9.56
431.49	335.97	10.67
431.68	307.18	8.85
431.87	339.69	9.20
432.06	381.88	11.38
432.25	368.28	11.01
432.44	379.49	10.66
432.63	361.59	10.68
432.82	391.23	11.38
433.01	365.18	12.15
433.20	408.56	11.73
433.39	443.48	13.25
433.58	421.89	13.45
433.77	427.73	13.30
433.96	578.95	13.59
434.15	441.36	13.92
434.34	476.20	13.11
434.53	466.86	14.22
434.72	461.75	14.74
434.91	444.25	13.99
435.10	446.31	14.11
435.29	476.99	15.22
435.48	663.40	16.18
435.67	525.34	17.30
435.86	544.15	16.93
436.05	533.27	17.37
436.24	533.20	17.41
436.43	656.73	18.90
436.62	563.89	18.03
436.81	506.96	17.23
437.00	478.00	15.65
437.20	460.90	15.18
437.39	450.55	14.74
437.58	469.28	15.77
437.77	516.44	16.38
437.96	538.28	17.29
438.15	559.83	18.31
438.34	538.31	17.83
438.53	575.85	18.66
438.72	532.28	17.58
438.91	537.98	16.94
439.10	566.73	16.44
439.29	517.26	16.28
439.48	527.73	16.28
439.67	504.61	15.21
439.86	506.70	15.59
440.05	466.56	15.07
440.24	474.32	14.55
440.43	475.66	14.57
440.62	462.31	14.06
440.81	434.97	13.73
441.00	453.55	14.19
441.19	458.86	13.96
441.38	451.14	14.23
441.57	418.42	13.16
441.76	420.07	13.08
441.95	415.63	12.82
442.14	410.05	13.06
442.33	399.21	13.21
442.52	389.73	11.86
442.71	399.18	10.86
442.91	366.86	11.36
443.10	357.56	12.60
443.29	309.27	10.53
443.48	332.94	9.57
443.67	196.28	6.41
443.95	193.75	6.10
444.24	210.96	5.74
444.54	208.33	4.82
444.83	182.49	5.39
445.12	180.99	5.54
445.42	183.30	6.32
445.71	189.85	5.97
446.01	188.50	5.91
446.30	213.55	5.91
446.60	209.15	5.81
446.89	233.27	5.93
447.19	270.38	7.02
447.48	257.50	7.37
447.78	243.08	7.14
448.07	251.67	7.89
448.37	264.50	7.74
448.66	230.58	7.18
448.96	241.07	6.60
449.25	247.35	7.04
449.55	235.64	7.23
449.84	233.40	7.15
450.14	235.93	7.76
450.43	263.95	7.25
450.73	234.39	6.91
451.02	263.64	7.02
451.32	266.42	7.05
451.61	295.00	7.80
451.90	287.30	8.12
452.20	357.43	8.48
452.49	323.93	8.12
452.79	305.36	9.33
453.08	299.45	8.82
453.38	328.19	8.96
453.67	305.67	8.31
453.97	300.43	9.04
454.26	292.26	8.71
454.56	294.02	9.51
454.85	269.23	8.33
455.15	268.06	8.48
455.46	301.93	8.39
455.78	327.99	9.04
456.09	379.89	8.82
456.40	322.21	9.07
456.72	261.38	8.38
457.03	294.93	8.90
457.34	323.10	9.98
457.66	318.77	10.23
457.97	289.30	8.80
458.28	320.36	10.06
458.60	384.59	11.58
458.91	442.70	11.55
459.22	486.70	13.05
459.85	308.51	9.59
460.16	329.83	11.71
460.47	392.31	13.10
460.79	332.00	10.19
461.10	335.79	10.56
461.41	337.14	10.17
461.73	281.93	9.46
462.04	283.59	9.63
462.35	218.28	6.93
462.67	193.84	5.60
462.98	235.82	7.29
463.29	244.15	7.67
463.61	240.60	7.45
463.92	292.73	9.99
464.23	312.54	10.59
464.55	342.20	9.73
464.86	293.20	9.33
465.17	329.10	8.76
465.49	275.27	9.20
465.80	303.87	9.47
466.11	309.39	9.25
466.43	281.98	7.74
466.74	290.23	8.28
467.05	274.95	8.49
467.36	297.94	8.00
467.68	179.98	5.63
467.99	212.14	6.76
468.30	157.98	4.91
468.62	155.10	4.84
468.93	154.11	4.90
469.24	179.16	5.62
469.56	194.46	5.24
469.90	179.94	4.96
470.26	167.24	5.26
470.62	129.91	3.92
470.98	104.07	3.43
471.34	120.56	3.57
471.71	117.06	3.40
472.07	110.55	3.44
472.43	107.71	3.17
472.79	106.11	3.07
473.15	117.28	3.05
473.51	104.72	3.03
473.87	106.70	3.16
474.24	105.79	3.00
474.60	116.07	3.37
474.96	128.83	3.24
475.32	108.25	3.55
475.68	109.66	3.43
476.04	107.87	3.46
476.40	116.28	3.73
476.77	112.96	3.45
477.13	112.56	3.43
477.49	112.78	3.45
477.85	106.16	3.17
478.21	101.84	2.94
478.57	97.22	3.02
478.93	98.16	3.23
479.30	98.15	3.06
479.66	96.21	2.97
485.44	83.72	2.44
485.80	83.67	2.12
486.16	82.45	1.74
486.52	83.00	2.64
486.89	79.97	2.43
487.25	83.16	2.43
487.61	80.90	2.43
487.97	80.00	2.31
488.33	78.17	2.22
488.69	83.82	2.40
489.05	80.23	2.31
489.42	80.49	2.48
489.78	82.40	2.53
490.14	83.43	2.64
490.50	89.87	2.68
490.86	91.03	2.80
491.58	73.08	2.37
491.95	83.73	2.12
492.31	87.65	2.51
492.67	86.18	2.68
493.03	86.21	2.54
493.39	89.10	2.30
493.75	85.63	2.35
494.11	91.04	2.38
494.48	90.25	2.59
499.54	84.54	2.46
499.83	87.97	2.53
500.11	83.91	2.50
500.39	83.05	2.53
500.67	88.30	2.41
500.96	98.80	2.88
501.52	102.01	2.66
501.81	132.42	2.23
502.09	79.45	2.03
502.37	75.84	2.06
502.65	88.01	2.46
502.94	108.80	3.52
503.22	112.25	3.14
503.50	108.19	2.91
503.79	99.34	2.79
504.07	108.24	2.50
504.35	92.26	3.04
504.63	93.28	2.91
504.92	91.58	3.04
505.20	89.09	2.96
505.48	94.29	2.59
505.77	96.76	3.20
506.05	101.03	3.30
506.33	96.68	2.95
506.61	93.83	2.90
506.90	97.75	2.95
507.18	95.86	2.75
507.46	95.26	2.98
507.74	96.51	3.26
508.03	100.62	3.17
508.31	99.31	3.07
508.59	99.71	3.11
508.88	100.41	2.91
509.16	93.64	2.97
509.44	103.88	2.67
509.72	106.71	2.98
510.01	110.05	3.18
510.29	101.87	2.77
510.57	113.27	3.54
510.86	107.77	3.29
511.14	100.38	3.45
511.42	104.45	2.91
511.70	101.32	3.58
511.99	102.58	2.99
512.27	104.64	2.85
512.55	111.08	2.82
512.84	109.33	3.51
513.12	110.11	3.46
513.40	106.67	3.31
513.68	106.32	2.90
513.97	111.53	3.30
514.25	111.24	2.99
514.53	113.98	3.23
514.81	114.03	3.64
515.10	105.00	3.16
515.38	111.48	3.63
515.66	111.70	3.57
515.95	108.32	3.10
516.23	102.20	3.08
516.51	108.01	2.93
516.79	102.77	2.66
517.08	100.00	2.89
517.36	99.33	2.95
517.64	99.05	3.00
517.93	92.40	2.72
518.21	85.53	2.43
518.49	82.15	2.37
518.77	85.82	2.49
519.06	91.05	2.48
519.34	81.13	2.47
519.62	82.87	3.24
519.91	82.43	2.65
520.19	81.16	2.46
520.47	88.94	2.68
520.75	80.72	2.57
521.04	86.00	2.53
521.32	84.89	2.42
521.60	85.93	2.85
521.89	90.16	2.66
522.17	88.77	2.67
522.45	84.39	2.86
522.73	84.47	2.89
523.02	84.52	2.91
523.30	85.33	2.65
523.58	84.55	2.80
523.86	81.67	2.24
524.15	94.03	2.96
524.43	95.85	2.81
524.71	93.22	2.92
525.00	95.86	2.71
525.28	91.78	2.71
525.56	99.72	2.64
525.84	98.92	2.79
526.13	107.77	3.52
526.41	104.01	3.11
526.69	102.61	3.15
526.98	155.23	3.12
527.26	121.98	3.22
527.54	95.78	3.19
527.82	101.34	3.00
528.11	116.02	3.63
528.39	103.20	3.01
528.67	117.32	3.66
528.96	114.21	3.43
529.22	215.55	6.79
529.37	215.13	6.85
529.53	240.27	7.66
529.69	217.98	5.91
529.85	267.14	8.56
530.01	262.37	8.11
530.16	315.99	8.76
530.32	309.40	8.90
530.48	297.72	8.78
530.64	278.59	7.66
530.79	289.08	7.44
530.95	278.72	7.77
531.11	253.43	7.14
531.27	266.15	7.41
531.43	374.91	8.16
531.58	349.03	8.32
531.74	357.88	7.86
531.95	327.50	8.51
532.19	341.64	8.18
532.42	428.55	7.86
532.66	312.23	8.22
532.89	297.28	8.97
533.12	276.95	7.41
533.36	278.55	7.53
533.59	272.19	6.90
533.83	346.16	6.52
534.06	262.36	6.48
534.30	261.19	5.49
534.53	279.61	5.90
534.77	273.20	6.50
535.00	255.98	5.68
535.24	218.15	6.12
535.47	220.89	6.28
535.71	247.30	7.77
535.94	267.05	8.55
536.65	290.57	9.16
536.88	331.28	10.34
537.12	323.99	9.72
537.35	309.94	10.44
537.59	321.53	9.17
537.82	302.23	9.21
538.06	292.08	10.19
538.29	280.36	9.15
538.53	270.43	9.13
538.76	265.95	8.06
539.00	269.44	8.92
539.23	265.31	8.51
539.47	302.65	9.50
539.70	341.71	8.91
539.94	412.36	9.72
540.17	353.36	10.07
540.41	342.16	10.69
540.64	395.43	11.09
540.88	376.85	11.46
541.11	393.11	11.11
541.35	421.41	12.21
541.58	395.52	11.35
541.82	375.45	12.19
542.05	410.83	11.29
542.29	427.67	12.22
542.52	441.97	13.59
542.76	456.97	13.69
542.99	431.95	13.81
543.23	440.41	14.40
543.46	449.30	14.01
543.70	433.23	13.33
543.93	425.85	13.56
544.10	403.29	13.46
544.27	456.48	12.85
544.44	489.77	13.49
544.61	419.60	13.47
544.78	405.96	13.68
544.95	405.43	12.17
545.12	360.59	12.29
545.29	367.02	12.48
545.46	420.26	13.94
545.63	446.01	13.69
545.80	419.22	15.44
545.97	421.00	13.51
546.14	400.50	13.18
546.31	403.99	13.25
546.48	386.03	13.56
546.65	370.45	12.23
546.82	364.84	12.34
546.99	363.21	12.32
547.16	321.69	10.98
547.33	244.96	8.70
547.55	164.10	5.40
547.81	193.37	6.26
548.07	180.60	5.75
548.32	175.35	5.54
548.58	197.02	6.34
548.84	177.08	5.99
549.10	193.72	6.12
549.36	225.03	7.39
549.61	213.53	7.24
549.87	192.50	6.52
550.13	192.83	7.15
550.39	196.90	5.94
550.65	167.95	5.94
550.90	195.82	5.72
551.16	177.69	5.58
551.42	132.54	4.16
551.68	116.57	3.73
551.94	103.24	3.16
552.19	91.24	2.89
552.45	101.01	3.27
552.71	204.36	3.32
552.97	106.30	3.47
553.23	106.03	3.95
553.48	138.40	3.78
553.74	134.10	4.24
554.00	114.34	3.88
554.26	97.44	3.00
554.51	91.19	3.45
554.77	101.74	3.04
555.03	108.03	3.93
555.29	111.54	3.94
555.55	124.40	4.52
555.80	116.64	4.19
556.06	132.39	4.88
556.32	132.94	5.09
556.58	144.93	5.34
556.84	156.75	5.63
557.09	148.55	5.28
557.35	163.78	5.44
557.61	169.16	6.25
557.87	181.41	5.91
558.13	187.67	6.60
558.38	203.96	6.51
558.64	174.75	5.74
558.90	200.19	7.05
559.16	186.55	6.02
559.41	189.52	6.21
559.67	183.03	5.97
559.93	181.76	6.43
560.19	190.86	5.78
560.45	195.58	6.69
560.80	170.97	5.41
561.20	175.58	5.33
561.59	155.17	5.16
562.03	106.80	3.38
562.56	99.36	3.13
563.08	111.94	3.37
563.61	103.50	3.61
564.13	93.27	3.15
564.66	111.70	4.00
565.18	117.41	4.00
565.71	110.84	3.56
566.23	114.28	3.61
566.76	107.93	3.44
567.28	106.79	3.35
567.81	113.13	3.55
568.33	113.50	3.97
568.86	115.21	3.77
569.38	106.45	3.64
569.91	110.89	3.92
570.43	117.69	3.56
570.96	128.57	4.54
571.46	205.46	6.88
571.81	213.16	6.81
572.17	229.93	7.76
572.53	231.55	7.60
572.88	210.33	6.63
573.24	188.10	6.32
573.60	186.61	6.51
573.96	202.30	6.85
574.31	191.73	6.47
574.67	136.50	4.60
575.03	141.68	4.64
575.39	125.03	4.58
575.74	124.47	4.08
576.10	180.02	4.24
576.46	121.32	3.99
576.82	118.22	3.96
577.17	120.87	2.99
577.41	99.52	2.72
577.61	139.70	3.27
577.81	101.22	3.50
578.00	132.36	3.91
578.20	113.70	3.31
578.40	115.30	3.66
578.59	96.50	2.27
578.99	99.68	2.58
579.18	111.07	3.56
579.38	114.53	3.72
579.57	117.44	4.33
579.77	115.10	4.14
579.97	135.63	4.15
580.16	187.91	4.35
580.36	141.38	4.72
580.56	128.61	3.97
580.75	140.33	4.26
581.15	119.26	4.31
581.34	137.23	4.59
581.54	126.32	3.96
581.74	156.10	4.89
581.93	174.59	5.68
582.13	186.65	6.24
582.33	174.12	5.55
582.52	201.17	6.23
582.72	205.91	6.74
582.92	211.95	6.51
583.11	211.29	6.15
583.31	219.14	7.13
583.51	209.39	6.99
583.70	224.71	7.40
583.90	219.82	6.46
584.10	201.51	6.48
584.29	175.31	5.81
584.49	188.42	6.73
584.68	196.66	6.34
584.88	178.76	6.88
585.08	178.75	6.38
585.27	188.89	6.20
585.47	189.70	5.43
585.67	192.28	6.12
585.86	206.05	5.88
586.06	213.52	5.99
586.26	229.94	6.35
586.45	251.40	6.16
586.65	243.53	5.47
586.85	226.94	5.63
587.04	207.39	5.80
587.24	173.76	5.09
587.44	189.97	5.30
587.63	202.90	6.29
587.83	172.79	4.83
588.03	182.13	6.26
588.22	162.07	4.63
588.42	161.60	5.40
588.62	163.59	4.77
588.81	188.08	4.66
589.01	163.85	5.29
589.20	160.21	4.77
589.40	155.74	4.91
589.60	161.03	5.06
589.79	156.01	4.21
589.99	166.04	4.72
590.19	152.19	4.52
590.38	172.75	4.88
590.58	158.07	4.81
590.78	161.16	5.16
590.97	157.21	5.45
591.17	158.33	5.25
591.37	154.27	4.68
591.56	154.60	5.16
591.76	172.57	4.91
591.96	168.29	4.70
592.15	145.76	4.55
592.35	146.03	4.90
592.55	168.51	5.11
592.74	155.27	4.75
592.94	148.77	4.25
593.14	141.85	4.62
593.33	147.19	4.64
593.53	141.83	4.12
593.72	146.11	4.53
593.92	143.25	4.00
594.12	145.55	4.83
594.31	157.61	4.66
594.51	142.04	4.83
594.71	137.68	4.61
594.90	144.20	4.52
595.10	146.56	4.39
595.30	136.33	3.98
595.49	129.17	4.28
595.69	134.17	4.16
595.89	138.27	4.16
596.08	149.99	4.48
596.28	142.49	5.12
598.83	247.76	5.38
599.03	226.25	5.74
599.23	199.26	4.98
599.42	203.05	5.23
599.62	206.22	5.67
599.82	187.10	5.70
600.01	105.55	3.47
600.34	78.10	2.23
600.77	73.46	2.11
601.20	80.73	2.38
