/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
60.26	338.49	10.62
60.46	328.09	9.71
60.66	331.90	9.69
60.87	313.68	10.32
61.07	304.49	9.63
61.27	304.58	8.75
61.47	276.51	8.72
61.68	294.86	10.10
61.88	326.07	9.57
62.08	352.65	10.73
62.28	366.30	10.14
62.49	337.72	9.99
62.69	349.51	11.13
62.89	316.25	9.77
63.09	347.62	11.46
63.29	342.48	10.11
63.50	386.38	11.35
63.70	438.70	12.72
63.90	421.72	12.07
64.10	438.79	13.27
64.31	441.84	12.97
64.51	396.93	11.89
64.71	212.80	6.10
64.91	316.29	9.28
65.11	442.29	13.80
65.32	426.10	11.96
65.52	464.73	12.31
65.72	384.96	10.33
65.92	372.17	11.56
66.13	494.71	11.65
66.33	399.67	11.99
66.53	423.44	11.66
66.73	388.46	10.54
66.94	365.49	10.84
67.14	364.79	11.17
67.34	365.49	10.97
67.54	363.05	11.42
67.74	372.15	11.93
67.95	368.89	11.09
68.15	284.27	8.94
68.35	258.50	7.46
68.55	362.52	12.10
68.76	374.46	11.66
68.96	373.01	11.50
69.16	358.99	10.94
69.36	327.54	10.14
69.56	340.45	10.65
69.77	355.53	11.38
69.97	363.14	10.96
70.17	302.96	9.30
70.37	281.86	8.04
70.58	238.92	7.07
70.79	150.63	4.41
71.14	154.32	4.70
71.48	176.93	4.48
71.82	153.59	4.31
72.16	163.16	3.82
72.50	187.17	4.41
72.84	208.36	4.77
73.18	181.92	4.62
73.53	166.62	4.22
73.87	147.11	4.45
74.21	117.79	3.56
74.55	148.83	3.96
74.89	128.85	3.35
75.23	132.22	3.05
75.57	162.42	4.23
75.92	145.13	3.65
76.26	156.99	4.23
76.60	152.86	4.00
76.94	137.80	3.46
77.28	137.40	3.84
77.62	150.95	4.51
77.96	164.06	3.96
78.31	150.74	3.50
78.65	187.57	3.72
78.99	128.67	3.35
79.33	117.33	2.74
79.67	123.33	3.53
80.01	119.50	3.35
80.35	107.90	2.74
80.70	116.72	3.08
81.04	110.38	2.93
81.38	101.97	3.12
81.72	111.23	3.81
82.06	106.39	3.71
82.40	105.55	3.51
82.74	108.00	3.23
83.08	111.75	3.35
83.43	121.53	3.32
83.77	118.86	3.22
84.11	125.10	3.63
84.45	124.00	3.67
84.79	131.56	4.06
85.13	128.53	3.61
85.47	143.63	3.83
85.82	135.87	3.51
86.16	129.91	4.26
86.50	143.19	3.84
86.84	147.78	4.21
87.18	161.19	5.27
87.56	155.25	4.45
87.95	147.47	4.44
88.34	134.86	4.01
88.73	138.70	4.30
89.12	142.50	4.42
89.51	130.95	3.72
89.90	134.19	4.09
90.29	146.29	4.54
90.68	110.94	3.37
91.07	106.06	2.84
91.46	118.59	3.51
